Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
V1,3,598-M7_R1,420,M613
V1,6,598-ME_R2,266,M683
V1,4,598-ME_R1,510,M585
V1,1,598-M7_R2,360,M933
V1,2,598-M14_R1,827,M682
V1,5,598-M14_R2,489,M253
V2,6,598-ME_R2,266,M368
V2,1,598-M7_R2,360,M935
V2,3,598-M7_R1,420,M28
V2,5,598-M14_R2,489,M295
V2,4,598-ME_R1,510,M88
V2,2,598-M14_R1,827,M459
V3,1,598-M7_R2,360,M371
V3,5,598-M14_R2,489,M851
V3,6,598-ME_R2,266,M418
V3,2,598-M14_R1,827,M2
V3,3,598-M7_R1,420,M833
V3,4,598-ME_R1,510,M49
V4,5,598-M14_R2,489,M540
V4,2,598-M14_R1,827,M991
V4,1,598-M7_R2,360,M32
V4,4,598-ME_R1,510,M600
V4,6,598-ME_R2,266,M636
V4,3,598-M7_R1,420,M211
V5,2,598-M14_R1,827,M73
V5,4,598-ME_R1,510,M780
V5,5,598-M14_R2,489,M744
V5,3,598-M7_R1,420,M244
V5,1,598-M7_R2,360,M254
V5,6,598-ME_R2,266,M177
V6,4,598-ME_R1,510,M343
V6,3,598-M7_R1,420,M498
V6,2,598-M14_R1,827,M489
V6,6,598-ME_R2,266,M570
V6,5,598-M14_R2,489,M794
V6,1,598-M7_R2,360,M428
V7,3,598-M7_R1,420,M267
V7,2,598-M14_R1,827,M599
V7,5,598-M14_R2,489,M811
V7,6,598-ME_R2,266,M152
V7,1,598-M7_R2,360,M668
V7,4,598-ME_R1,510,M942
V8,2,598-M14_R1,827,M398
V8,6,598-ME_R2,266,M209
V8,3,598-M7_R1,420,M601
V8,4,598-ME_R1,510,M748
V8,5,598-M14_R2,489,M333
V8,1,598-M7_R2,360,M232
V9,6,598-ME_R2,266,M505
V9,4,598-ME_R1,510,M212
V9,2,598-M14_R1,827,M313
V9,1,598-M7_R2,360,M230
V9,3,598-M7_R1,420,M275
V9,5,598-M14_R2,489,M873
V10,4,598-ME_R1,510,M233
V10,1,598-M7_R2,360,M989
V10,6,598-ME_R2,266,M131
V10,5,598-M14_R2,489,M832
V10,2,598-M14_R1,827,M228
V10,3,598-M7_R1,420,M852
V11,1,598-M7_R2,360,M883
V11,5,598-M14_R2,489,M690
V11,4,598-ME_R1,510,M925
V11,3,598-M7_R1,420,M583
V11,6,598-ME_R2,266,M456
V11,2,598-M14_R1,827,M247
V12,5,598-M14_R2,489,M598
V12,3,598-M7_R1,420,M901
V12,1,598-M7_R2,360,M54
V12,2,598-M14_R1,827,M66
V12,4,598-ME_R1,510,M141
V12,6,598-ME_R2,266,M116
V13,2,598-M14_R1,827,M815
V13,4,598-ME_R1,510,M798
V13,6,598-ME_R2,266,M81
V13,5,598-M14_R2,489,M756
V13,3,598-M7_R1,420,M969
V13,1,598-M7_R2,360,M593
V14,4,598-ME_R1,510,M722
V14,5,598-M14_R2,489,M701
V14,2,598-M14_R1,827,M659
V14,1,598-M7_R2,360,M35
V14,6,598-ME_R2,266,M242
V14,3,598-M7_R1,420,M936
V15,5,598-M14_R2,489,M111
V15,1,598-M7_R2,360,M460
V15,4,598-ME_R1,510,M736
V15,3,598-M7_R1,420,M527
V15,2,598-M14_R1,827,M539
V15,6,598-ME_R2,266,M325
V16,1,598-M7_R2,360,M16
V16,3,598-M7_R1,420,M11
V16,5,598-M14_R2,489,M590
V16,6,598-ME_R2,266,M968
V16,4,598-ME_R1,510,M990
V16,2,598-M14_R1,827,M952
V17,3,598-M7_R1,420,M787
V17,6,598-ME_R2,266,M200
V17,1,598-M7_R2,360,M804
V17,2,598-M14_R1,827,M291
V17,5,598-M14_R2,489,M500
V17,4,598-ME_R1,510,M158
V18,6,598-ME_R2,266,M791
V18,2,598-M14_R1,827,M147
V18,3,598-M7_R1,420,M790
V18,4,598-ME_R1,510,M452
V18,1,598-M7_R2,360,M783
V18,5,598-M14_R2,489,M686
V19,1,598-M7_R2,360,M221
V19,6,598-ME_R2,266,M940
V19,4,598-ME_R1,510,M276
V19,3,598-M7_R1,420,M557
V19,5,598-M14_R2,489,M610
V19,2,598-M14_R1,827,M252
V20,6,598-ME_R2,266,M743
V20,3,598-M7_R1,420,M671
V20,1,598-M7_R2,360,M915
V20,2,598-M14_R1,827,M547
V20,4,598-ME_R1,510,M637
V20,5,598-M14_R2,489,M182
V21,3,598-M7_R1,420,M299
V21,2,598-M14_R1,827,M163
V21,6,598-ME_R2,266,M729
V21,5,598-M14_R2,489,M735
V21,1,598-M7_R2,360,M270
V21,4,598-ME_R1,510,M824
V22,2,598-M14_R1,827,M271
V22,5,598-M14_R2,489,M692
V22,3,598-M7_R1,420,M760
V22,4,598-ME_R1,510,M523
V22,6,598-ME_R2,266,M278
V22,1,598-M7_R2,360,M330
V23,5,598-M14_R2,489,M157
V23,4,598-ME_R1,510,M566
V23,2,598-M14_R1,827,M301
V23,1,598-M7_R2,360,M944
V23,3,598-M7_R1,420,M159
V23,6,598-ME_R2,266,M897
V24,4,598-ME_R1,510,M274
V24,1,598-M7_R2,360,M880
V24,5,598-M14_R2,489,M160
V24,6,598-ME_R2,266,M376
V24,2,598-M14_R1,827,M630
V24,3,598-M7_R1,420,M56
